Year,ENSO_NINO34,res
1950,-1.349166667,0.878
1951,-0.0525,1.377
1952,-0.333333333,0.709
1953,0.246666667,0.942
1954,-0.894166667,0.934
1955,-1.445,0.957
1956,-0.993333333,0.72
1957,0.538333333,1.022
1958,0.404166667,0.723
1959,-0.28,1.181
1960,-0.355833333,1.24
1961,-0.486666667,1.091
1962,-0.695,0.941
1963,0.1975,0.769
1964,-0.833333333,1.17
1965,0.453333333,0.835
1966,0.035833333,0.94
1967,-0.636666667,1.042
1968,-0.210833333,1.134
1969,0.416666667,1.133
1970,-0.643333333,0.361
1971,-1.236666667,1.314
1972,0.67,0.863
1973,-0.908333333,1.132
1974,-1.175833333,0.952
1975,-1.316666667,0.775
1976,-0.3275,0.993
1977,0.254166667,1.173
1978,-0.369166667,0.654
1979,-0.021666667,0.766
1980,-0.001666667,0.991
1981,-0.455833333,1.211
1982,0.831666667,0.669
1983,0.306666667,0.741
1984,-0.664166667,0.925
1985,-0.755,1.16
1986,0.06,1.256
1987,1.094166667,1.267
1988,-0.999166667,0.388
1989,-0.798333333,1.061
1990,0.1275,1.068
1991,0.618333333,1.147
1992,0.608333333,0.783
1993,0.299166667,1.108
1994,0.46,1.2
1995,-0.1975,0.671
1996,-0.518333333,1.001
1997,1.115,0.749
1998,-0.119166667,1.104
1999,-1.286666667,1.175
2000,-0.909166667,1.009
2001,-0.339166667,1.036
2002,0.638333333,0.918
2003,0.206666667,0.732
2004,0.4225,1.209
2005,0.015,0.241
2006,0.0875,1.059
2007,-0.618333333,0.848
2008,-0.785,0.546
2009,0.288333333,1.041
2010,-0.4875,1.1
2011,-0.869166667,1.271
2012,-0.14,1.051
2013,-0.319166667,0.868
2014,0.111666667,1.396
2015,1.461666667,0.986
2016,0.3325,1.009
2017,-0.2,0.986
2018,0.011666667,0.866
2019,0.4775,0.935
2020,-0.3625,0.962
2021,-0.7225,0.726
2022,-0.936666667,0.933
2023,0.824166667,1.031
2024,0.3475,1.22
