Date,June,July,August,PDSI avg
189506,-3.25,-3.22,-3.72,-3.396666667
189606,0.18,1.97,2.74,1.63
189706,-0.03,-0.33,-1.07,-0.476666667
189806,1.39,0.78,0.67,0.946666667
189906,-1.66,-1.83,-2.24,-1.91
190006,-1.87,-1.22,-1.19,-1.426666667
190106,-2.1,-3.33,-3.58,-3.003333333
190206,1.68,1.47,0.98,1.376666667
190306,0.15,0.08,0.46,0.23
190406,-0.6,-0.69,-0.93,-0.74
190506,0.4,0.7,1.27,0.79
190606,-1.59,-1.72,0.4,-0.97
190706,1.7,2.16,2.52,2.126666667
190806,-0.78,-1.27,-2.08,-1.376666667
190906,1.96,2.57,2.44,2.323333333
191006,-2.23,0.79,0.39,-0.35
191106,-1.08,-1.96,-2.09,-1.71
191206,1.33,1.77,2.73,1.943333333
191306,-1.46,-1.82,-2.05,-1.776666667
191406,-3.16,-4.06,-3.41,-3.543333333
191506,0.37,1.59,3.22,1.726666667
191606,1.39,-0.77,-1,-0.126666667
191706,1.61,-0.11,-0.33,0.39
191806,-1.22,-1.33,-1.57,-1.373333333
191906,-0.35,-1.28,-1.74,-1.123333333
192006,-0.44,-0.32,-0.33,-0.363333333
192106,-1.91,-2.92,0.74,-1.363333333
192206,-1.32,-1.45,-2.12,-1.63
192306,-0.35,-0.41,0.62,-0.046666667
192406,2.12,-0.63,0.15,0.546666667
192506,-3,-2.61,-2.9,-2.836666667
192606,-0.73,-0.98,1.06,-0.216666667
192706,3.61,3.08,2.89,3.193333333
192806,2.39,2.08,2.04,2.17
192906,2.25,2.27,1.94,2.153333333
193006,-2.35,-3.32,-3.97,-3.213333333
193106,-5.74,-5.66,0.32,-3.693333333
193206,-1.53,-1.73,-1.68,-1.646666667
193306,-1.45,-2.28,-2.6,-2.11
193406,-5.16,-5.82,-5.04,-5.34
193506,-1.39,-1.42,-1.41,-1.406666667
193606,-3.57,-4.91,-5.3,-4.593333333
193706,1.68,1.51,1.38,1.523333333
193806,2.22,2.61,-0.04,1.596666667
193906,-0.31,-0.2,-0.51,-0.34
194006,-2.19,-3.04,-3.42,-2.883333333
194106,-4.54,-4.69,-4.91,-4.713333333
194206,0.75,0.87,1.14,0.92
194306,-0.46,-0.28,-0.74,-0.493333333
194406,-2.03,-3.02,-2.86,-2.636666667
194506,2.67,2.36,2.27,2.433333333
194606,-0.48,-0.84,-0.68,-0.666666667
194706,2.01,-0.03,-0.21,0.59
194806,0.6,0.94,-0.6,0.313333333
194906,1.44,1.14,1.01,1.196666667
195006,4.23,4.02,3.89,4.046666667
195106,2.87,2.74,2.17,2.593333333
195206,2.13,-0.67,-0.93,0.176666667
195306,-1.89,-1.6,-2.27,-1.92
195406,-4.51,-4.52,-3.58,-4.203333333
195506,-0.55,-0.34,-0.9,-0.596666667
195606,-0.32,-0.35,-0.59,-0.42
195706,2.71,2.65,2.21,2.523333333
195806,1.93,3.65,3.88,3.153333333
195906,-0.97,-0.95,-1.36,-1.093333333
196006,1.12,-0.05,-0.11,0.32
196106,1.79,2.1,1.96,1.95
196206,-1.46,0.81,-0.03,-0.226666667
196306,-1.74,-0.99,-1.03,-1.253333333
196406,-2.88,-2.63,-3.11,-2.873333333
196506,-3.01,-2.81,-2.22,-2.68
196606,-1.7,-2.13,-2.12,-1.983333333
196706,-0.51,-0.88,-1.12,-0.836666667
196806,1.08,1.03,1.28,1.13
196906,0.41,1.34,0.91,0.886666667
197006,0.3,0.56,0.2,0.353333333
197106,-0.2,0.68,0.38,0.286666667
197206,-0.42,-0.46,-0.42,-0.433333333
197306,2.68,3.13,2.86,2.89
197406,2.37,1.08,1.69,1.713333333
197506,2.28,1.54,2.24,2.02
197606,0.48,0.47,0.15,0.366666667
197706,-1.98,-2.07,1.53,-0.84
197806,0.76,1.24,2.09,1.363333333
197906,1.03,2.87,4.1,2.666666667
198006,1.95,1.74,2.33,2.006666667
198106,1.76,2.11,2.41,2.093333333
198206,1.89,1.7,1.81,1.8
198306,-0.32,-1.17,-1.97,-1.153333333
198406,-0.97,-0.91,-1.54,-1.14
198506,-1.02,-1.14,1.02,-0.38
198606,0.3,0.94,0.71,0.65
198706,-1.94,-1.16,-1.08,-1.393333333
198806,-3.37,-3.38,-3.81,-3.52
198906,1.23,1.78,2.21,1.74
199006,2.85,3.13,3.88,3.286666667
199106,-1.76,-2.51,-2.68,-2.316666667
199206,-2.52,2.05,2.04,0.523333333
199306,2.81,2.72,2.97,2.833333333
199406,-0.72,-0.8,-0.58,-0.7
199506,-0.06,-0.49,-0.4,-0.316666667
199606,2.63,3.09,2.12,2.613333333
199706,3.49,2.84,2.98,3.103333333
199806,2.31,2.65,2.6,2.52
199906,-0.6,-1.23,-1.75,-1.193333333
200006,0.93,1.04,1.57,1.18
200106,0.12,0.88,1.21,0.736666667
200206,-0.41,-1.07,-1.54,-1.006666667
200306,0.72,2.59,2.54,1.95
200406,2.02,2.56,3.34,2.64
200506,-1.63,-1.35,-0.78,-1.253333333
200606,1.01,1.34,1.9,1.416666667
200706,-1.55,-1.76,-1.49,-1.6
200806,3.73,3.67,2.85,3.416666667
200906,2.39,2.69,2.84,2.64
201006,1.64,1.57,-0.78,0.81
201106,3.52,2.53,1.78,2.61
201206,-3.53,-4.45,-0.04,-2.673333333
201306,1.79,-0.11,-0.7,0.326666667
201406,1.5,1.46,2.18,1.713333333
201506,3.43,4.23,3.69,3.783333333
201606,1.53,1.94,3.15,2.206666667
201706,2.3,3.07,2.53,2.633333333
201806,2.55,2.14,2.79,2.493333333
201906,5.31,4.63,4.27,4.736666667
202006,-0.27,-0.05,-0.07,-0.13
202106,0.69,1.4,1.35,1.146666667
202206,-0.76,0.54,0.65,0.143333333
202306,-1.5,-0.88,-0.59,-0.99
202406,-1.6,-0.89,-1.16,-1.216666667
